City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Luderitz,NA,2020-06-20 18:47:37,-26.65,15.16,57.2,87,0,4.7
114,Roebourne,AU,2020-06-20 18:47:37,-20.78,117.13,69.51,39,0,13.91
115,Hasaki,JP,2020-06-20 18:47:38,35.73,140.83,69.8,88,75,4.7
116,Korla,CN,2020-06-20 18:47:38,41.76,86.15,73.76,25,55,15.5
117,Anahuac,MX,2020-06-20 18:45:05,27.23,-100.15,91.4,52,75,12.75
118,Cherskiy,RU,2020-06-20 18:44:17,68.75,161.3,75.22,39,100,4.23
119,Okitipupa,NG,2020-06-20 18:47:38,6.5,4.78,76.77,91,100,5.32
120,Trinidad,BO,2020-06-20 18:47:39,-14.83,-64.9,89.6,55,20,10.29
121,Akureyri,IS,2020-06-20 18:47:39,65.68,-18.09,69.8,46,20,16.11
122,Bluff,NZ,2020-06-20 18:47:39,-46.6,168.33,39.0,83,12,3.0
123,Saint George,US,2020-06-20 18:43:59,37.1,-113.58,93.0,10,1,3.36
124,Barkhan,PK,2020-06-20 18:47:40,29.9,69.53,87.84,22,0,6.2
125,Radovitskiy,RU,2020-06-20 18:47:40,55.13,39.8,64.2,95,98,7.52
126,Kodyma,UA,2020-06-20 18:47:40,48.1,29.12,66.99,88,100,7.34
127,Araouane,ML,2020-06-20 18:47:40,18.9,-3.53,103.21,13,19,5.23
128,Jacareacanga,BR,2020-06-20 18:47:41,-6.22,-57.75,92.75,39,0,4.03
129,North Bend,US,2020-06-20 18:45:09,43.41,-124.22,63.0,82,90,10.29
130,Vao,NC,2020-06-20 18:47:41,-22.67,167.48,67.62,63,63,13.49
131,Buloh Kasap,MY,2020-06-20 18:47:41,2.55,102.76,77.0,94,20,1.68
132,Ocos,GT,2020-06-20 18:47:42,14.51,-92.19,91.4,59,20,5.82
133,Sonoita,MX,2020-06-20 18:47:42,31.85,-112.83,95.0,14,0,9.24
134,Grindavik,IS,2020-06-20 18:47:42,63.84,-22.43,55.4,76,75,23.04
135,Seropedica,BR,2020-06-20 18:47:42,-22.74,-43.71,86.0,48,0,8.05
136,San Patricio,MX,2020-06-20 18:47:42,19.22,-104.7,87.8,74,75,9.17
137,Puerto Ayora,EC,2020-06-20 18:47:43,-0.74,-90.35,77.0,69,40,19.46
138,Klaksvik,FO,2020-06-20 18:44:13,62.23,-6.59,55.4,87,59,8.05
139,Vierzon,FR,2020-06-20 18:47:43,47.21,2.06,71.6,53,82,3.36
140,Pevek,RU,2020-06-20 18:44:09,69.7,170.31,45.01,64,98,10.16
141,Lavrentiya,RU,2020-06-20 18:47:43,65.58,-171.0,51.67,50,0,13.33
142,Naze,JP,2020-06-20 18:47:43,28.37,129.48,78.8,94,90,5.82
143,Dafeng,CN,2020-06-20 18:47:44,23.45,108.59,78.26,87,84,5.7
144,Bone,DE,2020-06-20 18:47:44,51.97,12.14,70.0,76,100,4.99
145,Mangrol,IN,2020-06-20 18:47:44,21.12,70.12,85.26,78,87,16.71
146,Yerbogachen,RU,2020-06-20 18:47:44,61.28,108.01,55.56,86,2,1.97
147,Shelburne,CA,2020-06-20 18:46:03,44.08,-80.2,86.0,40,40,6.93
148,Saldanha,ZA,2020-06-20 18:47:45,-33.01,17.94,59.0,87,96,5.82
149,Clyde River,CA,2020-06-20 18:47:45,70.47,-68.59,37.4,93,40,6.93
150,Lander,US,2020-06-20 18:46:18,42.83,-108.73,75.2,17,1,3.36
151,Ternate,ID,2020-06-20 18:47:46,0.8,127.4,80.89,77,86,4.09
152,Thompson,CA,2020-06-20 18:45:13,55.74,-97.86,48.2,93,90,6.93
153,Sao Gabriel Da Cachoeira,BR,2020-06-20 18:47:46,-0.13,-67.09,80.6,88,75,2.24
154,Bentiu,SS,2020-06-20 18:47:46,9.23,29.83,80.53,67,100,6.67
155,Southbridge,US,2020-06-20 18:43:37,42.08,-72.03,88.0,45,66,6.4
156,Khatanga,RU,2020-06-20 18:47:47,71.97,102.5,56.1,59,89,14.58
157,Bambous Virieux,MU,2020-06-20 18:47:47,-20.34,57.76,73.4,60,20,13.87
158,Antofagasta,CL,2020-06-20 18:46:40,-23.65,-70.4,60.8,72,20,11.41
159,Aksarayskiy,RU,2020-06-20 18:47:47,46.79,48.01,80.6,47,91,11.18
160,Argalasti,GR,2020-06-20 18:47:48,39.23,23.22,77.0,44,41,2.24
161,Eldorado,BR,2020-06-20 18:47:48,-23.79,-54.28,80.67,51,0,8.99
162,High Level,CA,2020-06-20 18:47:48,58.52,-117.14,75.2,44,20,12.75
163,Trat,TH,2020-06-20 18:47:48,12.5,102.5,77.59,88,100,1.36
164,Longyearbyen,SJ,2020-06-20 18:47:48,78.22,15.64,41.0,80,75,20.8
165,Hobyo,SO,2020-06-20 18:47:49,5.35,48.53,80.19,66,0,28.12
166,Esperance,AU,2020-06-20 18:47:49,-33.87,121.9,42.8,87,0,6.93
167,Saint-Francois,FR,2020-06-20 18:47:49,46.42,3.91,71.6,46,100,3.36
168,Port Alfred,ZA,2020-06-20 18:47:49,-33.59,26.89,62.01,64,0,4.0
169,Hudiksvall,SE,2020-06-20 18:47:50,61.73,17.1,58.26,59,2,6.4
170,Kavieng,PG,2020-06-20 18:47:50,-2.57,150.8,82.47,73,37,4.12
171,Khuzhir,RU,2020-06-20 18:47:50,53.19,107.34,48.33,82,0,2.55
172,Halifax,CA,2020-06-20 18:45:13,44.65,-63.57,90.0,53,5,3.0
173,Qaanaaq,GL,2020-06-20 18:47:51,77.48,-69.36,39.83,71,100,7.83
174,Shenjiamen,CN,2020-06-20 18:47:51,29.96,122.3,71.44,94,100,9.69
175,Belturbet,IE,2020-06-20 18:47:51,54.1,-7.45,57.0,87,100,11.01
176,Iberia,US,2020-06-20 18:47:51,29.95,-91.75,89.6,52,20,11.41
177,Price,US,2020-06-20 18:47:51,39.6,-110.81,77.0,16,1,5.82
178,Yumen,CN,2020-06-20 18:44:39,40.28,97.2,75.94,25,100,4.85
